Mod:Item:MetaData, Localized Name
aeadditions:pattern.fluid:0, ME Fluid Pattern: Refined Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sap
aeadditions:pattern.fluid:0, ME Fluid Pattern: Syrup
aeadditions:pattern.fluid:0, ME Fluid Pattern: Resin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tree Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Seed Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Biocrude
aeadditions:pattern.fluid:0, ME Fluid Pattern: Grassoline
aeadditions:pattern.fluid:0, ME Fluid Pattern: Mushroom Stew
aeadditions:pattern.fluid:0, ME Fluid Pattern: Essence of Knowledge
aeadditions:pattern.fluid:0, ME Fluid Pattern: Potion
aeadditions:pattern.fluid:0, ME Fluid Pattern: Splash Potion
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lingering Potion
aeadditions:pattern.fluid:0, ME Fluid Pattern: Destabilized Redstone
aeadditions:pattern.fluid:0, ME Fluid Pattern: Energized Glowstone
aeadditions:pattern.fluid:0, ME Fluid Pattern: Resonant Ender
aeadditions:pattern.fluid:0, ME Fluid Pattern: Blazing Pyrotheum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Gelid Cryotheum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Zephyrean Aerotheum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tectonic Petrotheum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Primal Mana
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Platinum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Iridium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Invar
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Constantan
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Signalum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Lumium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Enderium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Electrical Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Energetic Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Vibrant Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Redstone Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Conductive Iron
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Pulsating Iron
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Dark Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Soularium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten End Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Iron Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Crude Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Crystalline Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Melodic Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Stellar Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Crystalline Pink Slime
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Energetic Silver
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Vivid Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Oxygen Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrogen Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bacterial Sludge
aeadditions:pattern.fluid:0, ME Fluid Pattern: Methane Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Atmospheric Gases
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Methane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Nitrogen
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrogen Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: CO2 Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Argon Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Argon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Helium Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulphuric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Aluminium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Americium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Antimony
aeadditions:pattern.fluid:0, ME Fluid Pattern: Argon Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Arsenic
aeadditions:pattern.fluid:0, ME Fluid Pattern: Beryllium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bismuth
aeadditions:pattern.fluid:0, ME Fluid Pattern: Carbon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cerium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chlorine
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chrome
aeadditions:pattern.fluid:0, ME Fluid Pattern: Darmstadtium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Deuterium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Europium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fluorine
aeadditions:pattern.fluid:0, ME Fluid Pattern: Gallium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Helium Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Helium-3
aeadditions:pattern.fluid:0, ME Fluid Pattern: Indium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Iron Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Krypton
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lanthanum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lithium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lutetium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Magnesium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Manganese
aeadditions:pattern.fluid:0, ME Fluid Pattern: Mercury
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molybdenum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Neodymium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Neon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nickel Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Niobium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrogen Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Osmium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Oxygen Plasma
aeadditions:pattern.fluid:0, ME Fluid Pattern: Palladium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Plutonium 239
aeadditions:pattern.fluid:0, ME Fluid Pattern: Plutonium 241
aeadditions:pattern.fluid:0, ME Fluid Pattern: Potassium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Radon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rhodium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ruthenium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Samarium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Silicon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tantalum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Thorium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Titanium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tritium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tungsten
aeadditions:pattern.fluid:0, ME Fluid Pattern: Uranium 238
aeadditions:pattern.fluid:0, ME Fluid Pattern: Uranium 235
aeadditions:pattern.fluid:0, ME Fluid Pattern: Vanadium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Xenon
aeadditions:pattern.fluid:0, ME Fluid Pattern: Yttrium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naquadah
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Naquadah
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naquadria
aeadditions:pattern.fluid:0, ME Fluid Pattern: Neutronium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tritanium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Duranium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Trinium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Annealed Copper
aeadditions:pattern.fluid:0, ME Fluid Pattern: Battery Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Oxygen
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cupronickel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ice
aeadditions:pattern.fluid:0, ME Fluid Pattern: Kanthal
aeadditions:pattern.fluid:0, ME Fluid Pattern: Magnalium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nichrome
aeadditions:pattern.fluid:0, ME Fluid Pattern: Niobium Nitride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Niobium-Titanium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sterling Silver
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rose Gold
aeadditions:pattern.fluid:0, ME Fluid Pattern: Black Bronze
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bismuth Bronze
aeadditions:pattern.fluid:0, ME Fluid Pattern: Soldering Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Stainless Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tin Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ultimet
aeadditions:pattern.fluid:0, ME Fluid Pattern: Vanadium-Gallium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Wrought Iron
aeadditions:pattern.fluid:0, ME Fluid Pattern: Yttrium Barium Cuprate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Osmiridium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Gallium Arsenide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Indium Gallium Phosphide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nickel Zinc Ferrite
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sodium Persulfate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tungstencarbide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Carbon Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Titanium Tetrachloride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrogen Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrogen Sulfide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Phosphoric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfur Trioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfur Dioxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Carbon Monoxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hypochlorous Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ammonia
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrofluoric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitric Oxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Iron III Chloride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Uranium Hexafluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Uranium Hexafluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Depleted Uranium Hexafluoride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrous Oxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydrochloric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Distilled Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sodium Potassium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Manganese Phosphide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Magnesium Diboride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Mercury Barium Calcium Cuprate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Uranium Triplatinum
aeadditions:pattern.fluid:0, ME Fluid Pattern: Samarium Iron Arsenic Oxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Indium Tin Barium Titanium Cuprate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Uranium Rhodium Dinaquadide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Naquadah Trinium Europium Duranide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ruthenium Trinium Americium Neutronate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rhodium Sulfate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fluoroantimonic Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Silicone Rubber
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrobenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Styrene-Butadiene Rubber
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polyvinyl Acetate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fiber-Reinforced Epoxy Resin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polyvinyl Chloride (PVC)
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polyphenylene Sulfide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Glyceryl Trinitrate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polybenzimidazole (PBI)
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polyethylene (PE)
aeadditions:pattern.fluid:0, ME Fluid Pattern: Epoxy Resin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polycaprolactam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polytetrafluoroethylene (PTFE)
aeadditions:pattern.fluid:0, ME Fluid Pattern: Epichlorohydrin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Monochloramine
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chloroform
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cumene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tetrafluoroethylene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chloromethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Allyl Chloride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Isoprene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Propane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Propene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Butene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Butane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dissolved Calcium Acetate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Vinyl Acetate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Methyl Acetate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethenone
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tetranitromethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dimethylamine
aeadditions:pattern.fluid:0, ME Fluid Pattern: 1,1-Dimethylhydrazine
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dinitrogen Tetroxide
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dimethyldichlorosilane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Styrene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Butadiene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dichlorobenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Acetic Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Phenol
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bisphenol A
aeadditions:pattern.fluid:0, ME Fluid Pattern: Vinyl Chloride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethylene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Benzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Acetone
aeadditions:pattern.fluid:0, ME Fluid Pattern: Glycerol
aeadditions:pattern.fluid:0, ME Fluid Pattern: Methanol
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethanol
aeadditions:pattern.fluid:0, ME Fluid Pattern: Toluene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Diphenyl Isophthalate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Phthalic Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Dimethylbenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: 3,3-Diaminobenzidine
aeadditions:pattern.fluid:0, ME Fluid Pattern: 3,3-Dichlorobenzidine
aeadditions:pattern.fluid:0, ME Fluid Pattern: 2-Nitrochlorobenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chlorobenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Octane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethyl Tert-Butyl Ether
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ethylbenzene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naphthalene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rubber
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cyclohexane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitrosyl Chloride
aeadditions:pattern.fluid:0, ME Fluid Pattern: Butyraldehyde
aeadditions:pattern.fluid:0, ME Fluid Pattern: Polyvinyl Butyral
aeadditions:pattern.fluid:0, ME Fluid Pattern: Wood Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Wood Vinegar
aeadditions:pattern.fluid:0, ME Fluid Pattern: Wood Tar
aeadditions:pattern.fluid:0, ME Fluid Pattern: Charcoal Byproducts
aeadditions:pattern.fluid:0, ME Fluid Pattern: Biomass
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bio Diesel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fermented Biomass
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Glue
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lubricant
aeadditions:pattern.fluid:0, ME Fluid Pattern: McGuffium 239
aeadditions:pattern.fluid:0, ME Fluid Pattern: Indium Concentrate
aeadditions:pattern.fluid:0, ME Fluid Pattern: Drilling Fluid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Construction Foam
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Hydro-Cracked Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Hydro-Cracked Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Steam-Cracked Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Steam-Cracked Heavy Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Hydro-Cracked Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Hydro-Cracked Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Steam-Cracked Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Steam-Cracked Light Fuel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Hydro-Cracked Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Hydro-Cracked Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Steam-Cracked Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Steam-Cracked Naphtha
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Refinery Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Hydro-Cracked Refinery Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Hydro-Cracked Refinery Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lightly Steam-Cracked Refinery Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Severely Steam-Cracked Refinery Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Ethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Ethylene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Propene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Propane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Butane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Butene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Hydro-Cracked Butadiene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Ethane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Ethylene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Propene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Propane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Butane
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Butene
aeadditions:pattern.fluid:0, ME Fluid Pattern: Steam-Cracked Butadiene
aeadditions:pattern.fluid:0, ME Fluid Pattern: LPG
aeadditions:pattern.fluid:0, ME Fluid Pattern: Raw Growth Medium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sterilized Growth Medium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Heavy Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Raw Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Light Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Natural Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bacteria
aeadditions:pattern.fluid:0, ME Fluid Pattern: Bacterial Sludge
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Bacterial Sludge
aeadditions:pattern.fluid:0, ME Fluid Pattern: Mutagen
aeadditions:pattern.fluid:0, ME Fluid Pattern: Gelatin Mixture
aeadditions:pattern.fluid:0, ME Fluid Pattern: Raw Gasoline
aeadditions:pattern.fluid:0, ME Fluid Pattern: Gasoline
aeadditions:pattern.fluid:0, ME Fluid Pattern: High Octane Gasoline
aeadditions:pattern.fluid:0, ME Fluid Pattern: Coal Gas
aeadditions:pattern.fluid:0, ME Fluid Pattern: Coal Tar
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cetane-Boosted Diesel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Milk
aeadditions:pattern.fluid:0, ME Fluid Pattern: Fish Oil
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ruby Slurry
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sapphire Slurry
aeadditions:pattern.fluid:0, ME Fluid Pattern: Green Sapphire Slurry
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Black Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Red Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Green Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Brown Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Blue Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Purple Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Cyan Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Light Gray Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Gray Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Pink Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Lime Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Yellow Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Light Blue Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Magenta Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical Orange Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Chemical White Dye
aeadditions:pattern.fluid:0, ME Fluid Pattern: Impure Enriched Naquadah Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Naquadah Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Acidic Enriched Naquadah Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Enriched Naquadah Waste
aeadditions:pattern.fluid:0, ME Fluid Pattern: Impure Naquadria Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naquadria Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Acidic Naquadria Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naquadria Waste
aeadditions:pattern.fluid:0, ME Fluid Pattern: UU-Matter
aeadditions:pattern.fluid:0, ME Fluid Pattern: Glass
aeadditions:pattern.fluid:0, ME Fluid Pattern: Salt Water
aeadditions:pattern.fluid:0, ME Fluid Pattern: Blaze
aeadditions:pattern.fluid:0, ME Fluid Pattern: Black Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Damascus Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Tungstensteel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Cobalt Brass
aeadditions:pattern.fluid:0, ME Fluid Pattern: Concrete
aeadditions:pattern.fluid:0, ME Fluid Pattern: Vanadiumsteel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Potin
aeadditions:pattern.fluid:0, ME Fluid Pattern: Borosilicate Glass
aeadditions:pattern.fluid:0, ME Fluid Pattern: Naquadah Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Nickel Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Sulfuric Copper Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Lead-Zinc Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nitration Mixture
aeadditions:pattern.fluid:0, ME Fluid Pattern: Diluted Sulfuric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Diluted Hydrochloric Acid
aeadditions:pattern.fluid:0, ME Fluid Pattern: Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Nether Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Nether Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Ender Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Liquid Ender Air
aeadditions:pattern.fluid:0, ME Fluid Pattern: Aqua Regia
aeadditions:pattern.fluid:0, ME Fluid Pattern: Acidic Osmium Solution
aeadditions:pattern.fluid:0, ME Fluid Pattern: Rhodium Plated Palladium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Red Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: Blue Steel
aeadditions:pattern.fluid:0, ME Fluid Pattern: HSS-G
aeadditions:pattern.fluid:0, ME Fluid Pattern: Red Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: HSS-E
aeadditions:pattern.fluid:0, ME Fluid Pattern: HSS-S
aeadditions:pattern.fluid:0, ME Fluid Pattern: Blue Alloy
aeadditions:pattern.fluid:0, ME Fluid Pattern: Conductive Chargium
aeadditions:pattern.fluid:0, ME Fluid Pattern: Radiolaria
aeadditions:pattern.fluid:0, ME Fluid Pattern: Molten Fueltonium
