#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
blue_alloy                                        ([no block])                                                                     = Blue Alloy
chargium                                          (zollerngalaxy:fluid_chargium)                                                   = Conductive Chargium
whitelava                                         (zollerngalaxy:fluid_whitelava)                                                  = Radiolaria
fueltonium                                        (zollerngalaxy:fluid_fueltonium)                                                 = Molten Fueltonium
chocolatemelted                                   (zollerngalaxy:fluid_chocolatemelted)                                            = Melted Chocolate
radium                                            (zollerngalaxy:fluid_radium)                                                     = Radiance
infected_purlonite_water_fluid                    (moreplanets:infected_purlonite_water_fluid)                                     = Infected Purlonite Water
infected_purlonite_lava_fluid                     (moreplanets:infected_purlonite_lava_fluid)                                      = Infected Purlonite Lava
cheese_milk_fluid                                 (moreplanets:cheese_milk_fluid)                                                  = Cheese Milk
gaseous_cheese_milk                               (moreplanets:gaseous_cheese_milk)                                                = Gaseous Cheese Milk
infected_water_fluid_mp                           (moreplanets:infected_water_fluid_mp)                                            = Infected Water
helium_gas                                        (moreplanets:helium_gas)                                                         = Helium Gas
nuclear_waste_fluid                               (moreplanets:nuclear_waste_fluid)                                                = Nuclear Waste
purified_water_fluid                              (moreplanets:purified_water_fluid)                                               = Purified Water
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
witchwater                                        (exnihilocreatio:witchwater)                                                     = Witchwater
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
liquidethanemethane                               (galaxyspace:block_liquidethanemethane)                                          = Liquid Ethane-Methane
heliumhydrogen                                    (galaxyspace:block_heliumhydrogen)                                               = Liquid Helium-Hydrogen
soulium                                           (mysticalagradditions:molten_soulium)                                            = Molten Soulium
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = Molten Base Essence
inferium                                          (mysticalagradditions:molten_inferium)                                           = Molten Inferium
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = Molten Prudentium
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = Molten Intermedium
superium                                          (mysticalagradditions:molten_superium)                                           = Molten Superium
supremium                                         (mysticalagradditions:molten_supremium)                                          = Molten Supremium
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
molten_reinforced_pink_slime                      ([no block])                                                                     = Molten Reinforced Pink Slime
insanium                                          (mysticaladaptations:molten_insanium)                                            = Insanium
xpjuice                                           ([no block])                                                                     = Liquid XP
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
vasholine                                         (tp:vasholine)                                                                   = Wub Wub Juice
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blood                                             (tconstruct:blood)                                                               = Blood
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
yellorium                                         (bigreactors:yellorium)                                                          = Fluid Yellorium
cyanite                                           (bigreactors:cyanite)                                                            = Fluid Cyanite
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = Pure Metal
amaranth                                          (jaopca:fluid_moltenamaranth)                                                    = Molten Amaranth
crystal                                           (jaopca:fluid_moltencrystal)                                                     = Molten Crystal
dark_iron                                         (jaopca:fluid_moltendarkiron)                                                    = Molten Dark Iron
desh                                              (jaopca:fluid_moltendesh)                                                        = Molten Desh
draconium                                         (jaopca:fluid_moltendraconium)                                                   = Molten Draconium
etrium                                            (jaopca:fluid_moltenetrium)                                                      = Molten Etrium
evenium                                           (jaopca:fluid_moltenevenium)                                                     = Molten Evenium
graphite                                          (jaopca:fluid_moltengraphite)                                                    = Molten Graphite
meteoric_iron                                     (jaopca:fluid_moltenmeteoriciron)                                                = Molten Meteoric Iron
mithril                                           (jaopca:fluid_moltenmithril)                                                     = Molten Mithril
shinium                                           (jaopca:fluid_moltenshinium)                                                     = Molten Shinium
virinium                                          (jaopca:fluid_moltenvirinium)                                                    = Molten Virinium
zollernium                                        (jaopca:fluid_moltenzollernium)                                                  = Molten Zollernium
oilgc                                             ([no block])                                                                     = fluid.oilgc
fuelgc                                            ([no block])                                                                     = fluid.fuelgc
ec.internal.hydrogen                              ([no block])                                                                     = Hydrogen
ec.internal.oxygen                                ([no block])                                                                     = Oxygen
ec.internal.water                                 ([no block])                                                                     = Water Vapor
ec.internal.chlorine                              ([no block])                                                                     = Chlorine
ec.internal.sulfurdioxide                         ([no block])                                                                     = Sulfur Dioxide
ec.internal.sulfurtrioxide                        ([no block])                                                                     = Sulfur Trioxide
ec.internal.sulfuricacid                          ([no block])                                                                     = Sulfuric Acid
ec.internal.hydrogenchloride                      ([no block])                                                                     = Hydrogen Chloride
ec.internal.ethene                                ([no block])                                                                     = Ethylene
ec.internal.sodium                                ([no block])                                                                     = Sodium
ec.internal.brine                                 ([no block])                                                                     = Gaseous Brine
ec.internal.deuterium                             ([no block])                                                                     = Deuterium
ec.internal.tritium                               ([no block])                                                                     = Tritium
ec.internal.fusionfuel                            ([no block])                                                                     = D-T Fuel
ec.internal.lithium                               ([no block])                                                                     = Lithium
ec.internal.liquidosmium                          ([no block])                                                                     = Liquid Osmium
ec.internal.cleaniron                             ([no block])                                                                     = Clean Iron Slurry
ec.internal.iron                                  ([no block])                                                                     = Iron Slurry
ec.internal.cleangold                             ([no block])                                                                     = Clean Gold Slurry
ec.internal.gold                                  ([no block])                                                                     = Gold Slurry
ec.internal.cleanosmium                           ([no block])                                                                     = Clean Osmium Slurry
ec.internal.osmium                                ([no block])                                                                     = Osmium Slurry
ec.internal.cleancopper                           ([no block])                                                                     = Clean Copper Slurry
ec.internal.copper                                ([no block])                                                                     = Copper Slurry
ec.internal.cleantin                              ([no block])                                                                     = Clean Tin Slurry
ec.internal.tin                                   ([no block])                                                                     = Tin Slurry
ec.internal.cleansilver                           ([no block])                                                                     = Clean Silver Slurry
ec.internal.silver                                ([no block])                                                                     = Silver Slurry
ec.internal.cleanlead                             ([no block])                                                                     = Clean Lead Slurry
ec.internal.lead                                  ([no block])                                                                     = Lead Slurry
